City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Amahai,ID,79.16,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
6,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
13,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
16,Comodoro Rivadavia,AR,78.66,broken clouds,-45.8667,-67.5,Austral Hotel
19,Gizo,SB,81.18,light rain,-8.103,156.8419,Imagination Island
23,Umm Lajj,SA,75.72,overcast clouds,25.0213,37.2685,Moon light Furnished Units
24,Kavaratti,IN,82.44,few clouds,10.5669,72.642,Green leaf
28,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
31,Mogadishu,SO,79.97,clear sky,2.0371,45.3438,Hotel Juba
32,Castro,BR,76.55,clear sky,-24.7911,-50.0119,CHACARA BAILLY
35,Black River,JM,84.43,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
40,Puerto Carreno,CO,85.98,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
41,Wanlaweyn,SO,79.34,few clouds,2.6185,44.8938,GAASHAAN HOME
42,Mana,GF,81.84,broken clouds,5.6592,-53.7767,LE SAMANA
43,Kroya,ID,76.42,light rain,-7.6331,109.2461,Wisma Legoq Kost
49,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
51,Atuona,PF,78.17,broken clouds,-9.8,-139.0333,Villa Enata
56,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Mazatlan,MX,79.92,clear sky,23.2167,-106.4167,Hotel La Siesta
67,Robertsport,LR,80.92,broken clouds,6.7533,-11.3686,Kwepunha Retreat
80,Kavieng,PG,82.02,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
83,Bandarbeyla,SO,78.62,clear sky,9.4942,50.8122,JABIR HOTEL
84,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
86,Maningrida,AU,78.78,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
90,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
96,Taoudenni,ML,79.74,clear sky,22.6783,-3.9836,
97,Cuamba,MZ,80.76,broken clouds,-14.8031,36.5372,Hotel Vision
100,Codajas,BR,86.99,light rain,-3.8367,-62.0569,ATLÂNTIC HOTEL
101,Dingle,PH,75.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Hithadhoo,MV,81.34,scattered clouds,-0.6,73.0833,Scoop Guest House
115,Rodrigues Alves,BR,80.8,broken clouds,-7.738,-72.6509,Pousada Aconchego
117,Georgetown,MY,77.9,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
118,Faanui,PF,78.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Hambantota,LK,79.45,overcast clouds,6.1241,81.1185,Bungalow 63
141,Suwannaphum,TH,79.86,overcast clouds,15.6035,103.8021,วรรณมณี รีสอร์ท
157,Sombrio,BR,82.94,clear sky,-29.1139,-49.6167,Hotel e Restaurante Sao Cristovao
166,Sawakin,SD,85.06,clear sky,19.1059,37.3321,فندق الدويم
169,Batticaloa,LK,75.6,overcast clouds,7.7102,81.6924,Treatooo Hotel
178,Butaritari,KI,80.6,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
183,Jeremie,HT,82.49,scattered clouds,18.65,-74.1167,Auberge’Inn
187,Iralaya,HN,82.53,light rain,15.0,-83.2333,Iglesia morava renovada
189,Talavera,PH,76.42,light rain,15.6167,120.9333,R&G's Resort
190,Isangel,VU,77.52,overcast clouds,-19.55,169.2667,Tanna Lodge
191,Pyapon,MM,75.24,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
195,Brokopondo,SR,88.2,scattered clouds,4.75,-55.1667,Matu Island
198,Gewane,ET,84.83,few clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
200,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
212,Zaraza,VE,86.38,overcast clouds,9.3503,-65.3245,Hotel Zaraza
217,Kattivakkam,IN,77.09,overcast clouds,13.2167,80.3167,Euronova Freezer
218,Muisne,EC,75.94,overcast clouds,0.6,-80.0333,Quinta Samay
221,Chuy,UY,81.48,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
225,Salinopolis,BR,83.26,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
227,Manacapuru,BR,88.3,overcast clouds,-3.2997,-60.6206,Novo Hotel
231,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
235,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Central
245,Buala,SB,78.22,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
248,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
255,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
256,Bac Lieu,VN,78.67,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
259,Bambanglipuro,ID,75.52,light rain,-7.95,110.2833,Puri Brata
265,Touros,BR,83.68,clear sky,-5.1989,-35.4608,INN NEW HORIZON
269,Ahuimanu,US,75.85,light rain,21.4447,-157.8378,Paradise Bay Resort
273,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
274,Palmares Do Sul,BR,80.31,few clouds,-30.2578,-50.5097,Hotel Campos Dourados.
281,Sao Domingos,BR,83.43,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
282,Cabo San Lucas,MX,82.06,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
283,Wanning,CN,77.23,broken clouds,18.8003,110.3967,Paradise Hotel
284,Bull Savanna,JM,83.34,scattered clouds,17.8868,-77.5902,Big Red's
287,Banda Aceh,ID,78.85,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
288,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
289,Ixtapa,MX,87.22,clear sky,20.7,-105.2,hotel la terminal
293,Taitung,TW,75.47,clear sky,22.7583,121.1444,Taitung Bali Suites Hotel
297,Manicore,BR,89.55,scattered clouds,-5.8092,-61.3003,Hotel Durval
306,Pouebo,NC,75.22,broken clouds,-20.4,164.5667,RIVÂT LODGE
309,Itoman,JP,75.58,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
314,Moindou,NC,75.42,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
324,Kyaikto,MM,75.15,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
330,Chatan,JP,75.36,light rain,26.3094,127.7703,The Beach Tower Okinawa
340,Filingue,NE,82.13,overcast clouds,14.3521,3.3168,Chez Zarkilou Issa
345,Rio Grande,BR,87.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
351,Aitape,PG,77.41,overcast clouds,-3.1374,142.3475,
352,Viedma,AR,86.23,scattered clouds,-40.8135,-62.9967,Hotel Cristal
356,Auki,SB,76.33,overcast clouds,-8.7676,160.7034,Auki Motel
357,Kulhudhuffushi,MV,81.37,scattered clouds,6.6221,73.07,Haajy Guest House 1
359,Yaan,NG,84.22,broken clouds,7.3833,8.5667,
360,Port Keats,AU,79.81,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
365,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
367,Grande Riviere Du Nord,HT,83.1,scattered clouds,19.5833,-72.1833,La Belle Maison
370,Iacu,BR,85.78,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
373,Augusto Correa,BR,85.19,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
375,Natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
376,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
381,Ambulu,ID,75.51,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
382,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
383,Jizan,SA,83.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
384,Bossangoa,CF,76.62,overcast clouds,6.4926,17.4552,Hotel du tourisme
