City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Portland,45.5234,-122.6762,52.99,71,40,19.57,US,2022-11-08 20:08:21
1,Lianran,24.9227,102.485,48.7,88,0,1.61,CN,2022-11-08 20:08:47
2,Punta Arenas,-53.15,-70.9167,55.51,47,40,21.85,CL,2022-11-08 20:06:03
3,Hilo,19.7297,-155.09,82.26,70,75,8.05,US,2022-11-08 20:08:48
4,Turki,51.987,43.2731,34.99,81,100,9.48,RU,2022-11-08 20:08:48
5,Batagay-Alyta,67.8006,130.4114,-2.34,99,100,1.14,RU,2022-11-08 20:08:48
6,Tuktoyaktuk,69.4541,-133.0374,12.18,81,100,9.8,CA,2022-11-08 20:08:49
7,Puerto Ayora,-0.7393,-90.3518,75.16,79,38,7.0,EC,2022-11-08 20:08:49
8,Sisimiut,66.9395,-53.6735,8.33,86,11,11.99,GL,2022-11-08 20:08:50
9,Victoria,22.2855,114.1577,73.45,87,100,5.99,HK,2022-11-08 20:06:47
10,Chimbote,-9.0853,-78.5783,67.41,75,30,10.56,PE,2022-11-08 20:05:16
11,Bambous Virieux,-20.3428,57.7575,74.21,71,33,8.84,MU,2022-11-08 20:08:50
12,Atuona,-9.8,-139.0333,76.71,70,98,13.09,PF,2022-11-08 20:05:29
13,Cape Town,-33.9258,18.4232,62.35,68,81,1.99,ZA,2022-11-08 20:04:56
14,Iqaluit,63.7506,-68.5145,15.53,72,100,4.61,CA,2022-11-08 20:08:51
15,Torbay,47.6666,-52.7314,44.76,67,64,29.71,CA,2022-11-08 20:08:51
16,Hualmay,-11.0964,-77.6139,68.29,72,12,9.53,PE,2022-11-08 20:08:51
17,Lajas,18.05,-67.0593,86.41,82,68,11.01,PR,2022-11-08 20:08:52
18,Barrow,71.2906,-156.7887,30.22,86,100,19.57,US,2022-11-08 20:08:52
19,Bredasdorp,-34.5322,20.0403,59.58,78,83,5.95,ZA,2022-11-08 20:08:53
20,Rikitea,-23.1203,-134.9692,75.09,90,77,15.9,PF,2022-11-08 20:08:53
21,Tuy Hoa,13.0833,109.3,73.44,91,76,5.59,VN,2022-11-08 20:08:53
22,Tiksi,71.6872,128.8694,-8.28,96,99,9.22,RU,2022-11-08 20:08:54
23,Lavrentiya,65.5833,-171.0,23.88,92,100,6.44,RU,2022-11-08 20:08:54
24,Morant Bay,17.8815,-76.4093,86.7,74,37,1.7,JM,2022-11-08 20:08:55
25,Kulhudhuffushi,6.6221,73.07,81.28,76,10,9.31,MV,2022-11-08 20:08:55
26,Upernavik,72.7868,-56.1549,4.33,63,21,6.8,GL,2022-11-08 20:08:55
27,Daru,-9.0763,143.2092,78.8,86,100,8.32,PG,2022-11-08 20:08:56
28,Thompson,55.7435,-97.8558,6.96,78,100,10.36,CA,2022-11-08 20:08:56
29,Boromo,11.75,-2.9333,81.19,18,10,6.96,BF,2022-11-08 20:08:56
30,Chokurdakh,70.6333,147.9167,-4.09,99,99,8.68,RU,2022-11-08 20:08:57
31,Vostok,46.4856,135.8833,24.03,79,2,5.08,RU,2022-11-08 20:08:57
32,Kahului,20.8947,-156.47,84.22,66,20,18.41,US,2022-11-08 20:08:11
33,Uji,34.8833,135.8,51.8,83,0,1.1,JP,2022-11-08 20:08:57
34,East London,-33.0153,27.9116,66.07,87,35,5.77,ZA,2022-11-08 20:08:45
35,Kaitangata,-46.2817,169.8464,56.08,72,92,6.29,NZ,2022-11-08 20:08:58
36,Campina Verde,-19.5356,-49.4864,89.83,24,51,10.18,BR,2022-11-08 20:08:58
37,Darnah,32.767,22.6367,66.92,76,6,11.92,LY,2022-11-08 20:08:59
38,New Norfolk,-42.7826,147.0587,57.7,65,85,1.63,AU,2022-11-08 20:08:59
39,Saint George,37.1041,-113.5841,70.25,38,100,16.11,US,2022-11-08 20:04:00
40,Pisco,-13.7,-76.2167,69.03,77,0,10.36,PE,2022-11-08 20:04:10
41,Carnarvon,-24.8667,113.6333,65.79,69,0,10.8,AU,2022-11-08 20:09:00
42,Tasiilaq,65.6145,-37.6368,30.36,92,100,5.48,GL,2022-11-08 20:09:00
43,Bandarbeyla,9.4942,50.8122,79.25,79,8,7.76,SO,2022-11-08 20:09:00
44,Faya,18.3851,42.4509,59.52,76,22,3.36,SA,2022-11-08 20:10:01
45,Douglas,41.3,-96.167,59.59,73,100,12.66,US,2022-11-08 20:10:01
46,Hermanus,-34.4187,19.2345,60.8,79,98,9.26,ZA,2022-11-08 20:10:02
47,Codrington,-38.2667,141.9667,60.4,80,73,9.17,AU,2022-11-08 20:10:02
48,Busselton,-33.65,115.3333,57.04,85,79,2.64,AU,2022-11-08 20:10:03
49,Dikson,73.5069,80.5464,5.34,96,100,5.26,RU,2022-11-08 20:10:03
50,Mayskiy,47.6931,40.1025,44.01,86,17,6.46,RU,2022-11-08 20:10:04
51,Ola,59.5833,151.2833,7.16,92,99,7.76,RU,2022-11-08 20:10:04
52,Juneau,58.3019,-134.4197,30.22,77,75,0.0,US,2022-11-08 20:10:05
53,Kayes,14.0,-11.0,85.28,14,47,4.34,ML,2022-11-08 20:10:06
54,Avarua,-21.2078,-159.775,75.25,60,20,12.66,CK,2022-11-08 20:10:06
